;Vrouwen;;Mannen;
Rank;eerste_voornaam;aantal;eerste_voornaam;aantal
1;Maria;368.464;Johannes;330.057
2;Johanna;290.068;Jan;202.051
3;Anna;147.916;Cornelis;145.449
4;Cornelia;122.667;Hendrik;128.280
5;Elisabeth;119.141;Willem;111.006
6;Wilhelmina;106.938;Petrus;92.470
7;Catharina;92.524;Pieter;89.160
8;Hendrika;78.375;Gerrit;80.733
9;Adriana;75.620;Wilhelmus;75.509
10;Petronella;74.301;Peter;72.049
11;Margaretha;49.802;Jacobus;69.889
12;Jacoba;46.960;Robert;69.838
13;Yvonne;45.304;Antonius;69.196
14;Helena;44.082;Gerardus;69.121
15;Geertruida;43.425;Adrianus;67.645
16;Monique;40.930;Franciscus;63.450
17;Antonia;34.823;Hendrikus;58.807
18;Esther;34.339;Johan;54.761
19;Ingrid;34.065;Jacob;53.026
20;Christina;33.409;Marinus;51.243
21;Elizabeth;31.760;Dirk;51.025
22;Linda;31.262;Jeroen;50.183
23;Theodora;30.811;Ronald;48.483
24;Aaltje;29.781;Theodorus;48.065
25;Sandra;29.779;Martinus;46.086
26;Anne;29.627;Henricus;41.285
27;Grietje;28.147;Thomas;40.135
28;Alida;28.073;Richard;37.766
29;Marianne;26.252;Dennis;37.603
30;Laura;26.009;Marcel;37.257
31;Kim;26.006;Nicolaas;36.354
32;Sanne;25.600;Albert;34.555
33;Jantje;24.929;Mark;34.476
34;Trijntje;24.548;Arie;34.214
35;Jolanda;24.145;Patrick;33.251
36;Karin;24.144;René;33.114
37;Jacqueline;23.064;Paul;31.471
38;Neeltje;23.044;Martijn;30.585
39;Geertje;22.476;Bernardus;30.128
40;Iris;22.324;Erik;29.746
41;Janna;21.635;Maarten;29.602
42;Astrid;21.570;Tim;28.381
43;Saskia;21.350;Wouter;28.179
44;Bianca;21.103;Marco;27.556
45;Eva;20.871;Michael;27.527
46;Patricia;20.834;Alexander;27.465
47;Antje;20.601;Sander;26.963
48;Chantal;20.343;Paulus;26.671
49;Judith;20.077;Leonardus;26.390
50;Petra;20.037;Bart;26.348
51;Wendy;19.992;Frank;26.188
52;Maaike;19.679;Klaas;25.982
53;Daniëlle;19.609;Christiaan;25.524
54;Lisa;19.380;Albertus;25.504
55;Nicole;18.881;Daniël;25.266
56;Francisca;18.564;Niels;24.954
57;Anouk;18.548;Frederik;23.558
58;Willemina;18.530;Michel;23.552
59;Jannetje;18.512;Kevin;23.439
60;Gerarda;18.457;Hans;23.119
61;Ellen;18.043;Edwin;22.604
62;Sylvia;17.883;Robin;22.501
63;Anita;17.664;Leendert;22.441
64;Joyce;17.379;Tom;22.440
65;Pieternella;17.302;Adriaan;22.181
66;Emma;17.044;Hubertus;22.116
67;Miranda;16.967;Rudolf;21.841
